candidate_id,rule_mode,instance,profile,atlas_capacity,initial_seed,atlas_iteration,parent_domain_id,fiber_label,fiber_state_count,n_charts,n_transport_edges,base_chart,cycle_charts,cycle_length,loop_valid,loop_order,loop_nontrivial,loop_c2,loop_map,loop_label_support,failure_reason
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 10,3,False,0,False,False,,,composition_domain_mismatch_3_10
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 4 0,3,True,1,False,False,0->0 1->1 3->3 4->4,0 1 3 4,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 4 1,3,True,1,False,False,0->0 1->1 3->3 4->4,0 1 3 4,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 1,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 3,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 8,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 9,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 10,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 3,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 5,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 9,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 10,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 9 3,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 9 5,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 9 8,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 9 10,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 10 3,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 10 5,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 10 8,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 10 9,3,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 0 1 3,4,False,0,False,False,,,composition_domain_mismatch_1_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 0 1 4,4,False,0,False,False,,,composition_domain_mismatch_1_4
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 0 1 5,4,False,0,False,False,,,composition_domain_mismatch_1_5
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 0 3 1,4,False,0,False,False,,,composition_domain_mismatch_0_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 0 3 5,4,False,0,False,False,,,composition_domain_mismatch_0_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 0 3 8,4,False,0,False,False,,,composition_domain_mismatch_0_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 0 3 9,4,False,0,False,False,,,composition_domain_mismatch_0_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 0 3 10,4,False,0,False,False,,,composition_domain_mismatch_0_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 0 4 1,4,False,0,False,False,,,composition_domain_mismatch_0_4
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 1 0 3,4,False,0,False,False,,,composition_domain_mismatch_0_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 1 0 4,4,False,0,False,False,,,composition_domain_mismatch_0_4
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 1 3 0,4,False,0,False,False,,,composition_domain_mismatch_1_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 1 3 5,4,False,0,False,False,,,composition_domain_mismatch_1_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 1 3 8,4,False,0,False,False,,,composition_domain_mismatch_1_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 1 3 9,4,False,0,False,False,,,composition_domain_mismatch_1_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 1 3 10,4,False,0,False,False,,,composition_domain_mismatch_1_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 1 4 0,4,False,0,False,False,,,composition_domain_mismatch_1_4
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 1 5 3,4,False,0,False,False,,,composition_domain_mismatch_1_5
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 1 5 8,4,False,0,False,False,,,composition_domain_mismatch_1_5
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 1 5 9,4,False,0,False,False,,,composition_domain_mismatch_1_5
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 1 5 10,4,False,0,False,False,,,composition_domain_mismatch_1_5
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 1 7 8,4,False,0,False,False,,,composition_domain_mismatch_1_7
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 1 7 9,4,False,0,False,False,,,composition_domain_mismatch_1_7
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 1 7 10,4,False,0,False,False,,,composition_domain_mismatch_1_7
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 0 1,4,True,1,False,False,0->0 1->1 2->2,0 1 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 0 4,4,False,0,False,False,,,composition_domain_mismatch_0_4
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 1 0,4,True,1,False,False,0->0 1->1 2->2,0 1 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 1 4,4,False,0,False,False,,,composition_domain_mismatch_1_4
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 1 5,4,False,0,False,False,,,composition_domain_mismatch_1_5
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 5 1,4,False,0,False,False,,,composition_domain_mismatch_3_5
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 5 8,4,False,0,False,False,,,composition_domain_mismatch_3_5
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 5 9,4,False,0,False,False,,,composition_domain_mismatch_3_5
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 5 10,4,False,0,False,False,,,composition_domain_mismatch_3_5
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 8 5,4,False,0,False,False,,,composition_domain_mismatch_3_8
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 8 9,4,False,0,False,False,,,composition_domain_mismatch_3_8
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 8 10,4,False,0,False,False,,,composition_domain_mismatch_3_8
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 9 5,4,False,0,False,False,,,composition_domain_mismatch_3_9
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 9 8,4,False,0,False,False,,,composition_domain_mismatch_3_9
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 9 10,4,False,0,False,False,,,composition_domain_mismatch_3_9
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 10 5,4,False,0,False,False,,,composition_domain_mismatch_3_10
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 10 8,4,False,0,False,False,,,composition_domain_mismatch_3_10
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 3 10 9,4,False,0,False,False,,,composition_domain_mismatch_3_10
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 4 0 1,4,True,1,False,False,0->0 1->1 3->3 4->4,0 1 3 4,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 4 0 3,4,False,0,False,False,,,composition_domain_mismatch_0_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 4 1 0,4,True,1,False,False,0->0 1->1 3->3 4->4,0 1 3 4,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 4 1 3,4,False,0,False,False,,,composition_domain_mismatch_1_3
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 4 1 5,4,False,0,False,False,,,composition_domain_mismatch_1_5
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 1 0,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 1 3,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 1 4,4,False,0,False,False,,,composition_domain_mismatch_1_4
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 3 0,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 3 1,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 3 8,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 3 9,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 3 10,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 8 3,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 8 9,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 8 10,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 9 3,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 9 8,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 9 10,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 10 3,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 10 8,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 10 9,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 12 8,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 12 9,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 5 12 10,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 3 0,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 3 1,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 3 5,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 3 9,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 3 10,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 5 1,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 5 3,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 5 9,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 5 10,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 7 1,4,True,2,True,True,0->2 2->0,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 7 9,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 7 10,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 9 3,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 9 5,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 9 10,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 10 3,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 10 5,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 10 9,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 12 5,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 12 9,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 8 12 10,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 9 3 0,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 9 3 1,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 9 3 5,4,True,1,False,False,0->0 2->2,0 2,
random_full_permutation|inst=28|full_atlas|cap=32|seed=3221741,random_full_permutation,28,full_atlas,32,3221741,8,75,7,17,16,36,2,2 9 3 8,4,True,1,False,False,0->0 2->2,0 2,
